indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Admin Officer,,Filing system,1- Document management system is in place,Administrative systems,5.4.1.1,Systems,5.4.1,Strand 5.4: Administration
2,,Admin Officer,,Attendance records,2- Attendance records are maintained,Administrative systems,5.4.1.1,Systems,5.4.1,Strand 5.4: Administration
3,,Admin Officer,,Student records,3- Student records are up to date,Administrative systems,5.4.1.1,Systems,5.4.1,Strand 5.4: Administration
4,,Admin Officer,,Staff records,4- Staff records are maintained,Administrative systems,5.4.1.1,Systems,5.4.1,Strand 5.4: Administration
5,,Admin Officer,,Communication log,5- Communication records are kept,Administrative systems,5.4.1.1,Systems,5.4.1,Strand 5.4: Administration
6,,Admin Officer,,Inventory records,1- Asset inventory is maintained,Resource management,5.4.2.1,Resources,5.4.2,Strand 5.4: Administration
7,,Admin Officer,,Procurement records,2- Procurement follows procedures,Resource management,5.4.2.1,Resources,5.4.2,Strand 5.4: Administration
8,,Admin Officer,,Stock records,3- Stock management is effective,Resource management,5.4.2.1,Resources,5.4.2,Strand 5.4: Administration
9,,Admin Officer,,Maintenance log,4- Maintenance requests are tracked,Resource management,5.4.2.1,Resources,5.4.2,Strand 5.4: Administration
10,,Admin Officer,,Disposal records,5- Disposal procedures are followed,Resource management,5.4.2.1,Resources,5.4.2,Strand 5.4: Administration
