indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Foundation Teacher,,Curriculum plan,1- Age-appropriate curriculum is followed,Early childhood education,2.5.1.1,Curriculum,2.5.1,Strand 2.5: Foundation Stage
2,,Foundation Teacher,,Learning activities,2- Play-based learning is implemented,Early childhood education,2.5.1.1,Curriculum,2.5.1,Strand 2.5: Foundation Stage
3,,Foundation Teacher,,Assessment records,3- Developmental milestones are tracked,Early childhood education,2.5.1.1,Curriculum,2.5.1,Strand 2.5: Foundation Stage
4,,Foundation Teacher,,Parent reports,4- Parents receive regular updates,Early childhood education,2.5.1.1,Curriculum,2.5.1,Strand 2.5: Foundation Stage
5,,Foundation Teacher,,Transition plan,5- Transition to primary is planned,Early childhood education,2.5.1.1,Curriculum,2.5.1,Strand 2.5: Foundation Stage
6,,Foundation Teacher,,Classroom setup,1- Learning areas are well organized,Learning environment,2.5.2.1,Environment,2.5.2,Strand 2.5: Foundation Stage
7,,Foundation Teacher,,Resource inventory,2- Age-appropriate resources available,Learning environment,2.5.2.1,Environment,2.5.2,Strand 2.5: Foundation Stage
8,,Foundation Teacher,,Safety checklist,3- Environment is safe for young children,Learning environment,2.5.2.1,Environment,2.5.2,Strand 2.5: Foundation Stage
9,,Foundation Teacher,,Daily routine,4- Daily routine is consistent,Learning environment,2.5.2.1,Environment,2.5.2,Strand 2.5: Foundation Stage
10,,Foundation Teacher,,Outdoor activities,5- Outdoor play is provided daily,Learning environment,2.5.2.1,Environment,2.5.2,Strand 2.5: Foundation Stage
