indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,General Staff,,School policies,1- School policies are documented,Policy implementation,5.6.1.1,Policies,5.6.1,Strand 5.6: General Operations
2,,General Staff,,Policy communication,2- Policies are communicated to stakeholders,Policy implementation,5.6.1.1,Policies,5.6.1,Strand 5.6: General Operations
3,,General Staff,,Policy review records,3- Policies are reviewed regularly,Policy implementation,5.6.1.1,Policies,5.6.1,Strand 5.6: General Operations
4,,General Staff,,Compliance records,4- Policy compliance is monitored,Policy implementation,5.6.1.1,Policies,5.6.1,Strand 5.6: General Operations
5,,General Staff,,Staff handbook,5- Staff handbook is available,Policy implementation,5.6.1.1,Policies,5.6.1,Strand 5.6: General Operations
6,,General Staff,,Event calendar,1- School events are well planned,School operations,5.6.2.1,Operations,5.6.2,Strand 5.6: General Operations
7,,General Staff,,Duty roster,2- Duty roster is in place,School operations,5.6.2.1,Operations,5.6.2,Strand 5.6: General Operations
8,,General Staff,,Emergency procedures,3- Emergency procedures are known,School operations,5.6.2.1,Operations,5.6.2,Strand 5.6: General Operations
9,,General Staff,,Visitor log,4- Visitor management is effective,School operations,5.6.2.1,Operations,5.6.2,Strand 5.6: General Operations
10,,General Staff,,Transport records,5- Student transport is safe,School operations,5.6.2.1,Operations,5.6.2,Strand 5.6: General Operations
