indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Leading Teacher,,Classroom environment,1- Classroom is organized and welcoming,Learning environment,2.3.1.1,Environment,2.3.1,Strand 2.3: Learning Environment
2,,Leading Teacher,,Classroom displays,2- Student work is displayed appropriately,Learning environment,2.3.1.1,Environment,2.3.1,Strand 2.3: Learning Environment
3,,Leading Teacher,,Resource inventory,3- Learning resources are accessible to all,Learning environment,2.3.1.1,Environment,2.3.1,Strand 2.3: Learning Environment
4,,Leading Teacher,,Classroom observation,4- Positive behavior is reinforced,Learning environment,2.3.1.1,Environment,2.3.1,Strand 2.3: Learning Environment
5,,Leading Teacher,,Classroom observation,5- All students feel safe and respected,Learning environment,2.3.1.1,Environment,2.3.1,Strand 2.3: Learning Environment
6,,Leading Teacher,,Classroom observation,1- Teacher models respect for all learners,Inclusive practices,2.3.2.1,Inclusion,2.3.2,Strand 2.3: Learning Environment
7,,Leading Teacher,,Student records,2- SEN students are supported appropriately,Inclusive practices,2.3.2.1,Inclusion,2.3.2,Strand 2.3: Learning Environment
8,,Leading Teacher,,Classroom observation,3- Gifted students are challenged,Inclusive practices,2.3.2.1,Inclusion,2.3.2,Strand 2.3: Learning Environment
9,,Leading Teacher,,Lesson plans,4- Activities cater to different learning styles,Inclusive practices,2.3.2.1,Inclusion,2.3.2,Strand 2.3: Learning Environment
10,,Leading Teacher,,Classroom observation,5- All students participate in lessons,Inclusive practices,2.3.2.1,Inclusion,2.3.2,Strand 2.3: Learning Environment
11,,Leading Teacher,,Professional development records,1- Teacher engages in professional development,Professional growth,2.4.1.1,Development,2.4.1,Strand 2.4: Professional Development
12,,Leading Teacher,,Collaboration records,2- Teacher collaborates with colleagues,Professional growth,2.4.1.1,Development,2.4.1,Strand 2.4: Professional Development
13,,Leading Teacher,,Self-reflection documents,3- Teacher reflects on practice,Professional growth,2.4.1.1,Development,2.4.1,Strand 2.4: Professional Development
14,,Leading Teacher,,Innovation records,4- Teacher tries new teaching approaches,Professional growth,2.4.1.1,Development,2.4.1,Strand 2.4: Professional Development
15,,Leading Teacher,,Parent communication records,5- Teacher communicates with parents,Professional growth,2.4.1.1,Development,2.4.1,Strand 2.4: Professional Development
