indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Support Staff,,Cleaning schedule,1- School premises are clean,Facilities management,3.1.1.1,Cleanliness,3.1.1,Strand 3.1: Health and Safety
2,,Support Staff,,Inspection records,2- Facilities are regularly inspected,Facilities management,3.1.1.1,Cleanliness,3.1.1,Strand 3.1: Health and Safety
3,,Support Staff,,Maintenance log,3- Repairs are done promptly,Facilities management,3.1.1.1,Cleanliness,3.1.1,Strand 3.1: Health and Safety
4,,Support Staff,,Grounds maintenance,4- School grounds are well maintained,Facilities management,3.1.1.1,Cleanliness,3.1.1,Strand 3.1: Health and Safety
5,,Support Staff,,Waste management,5- Waste disposal is proper,Facilities management,3.1.1.1,Cleanliness,3.1.1,Strand 3.1: Health and Safety
6,,Support Staff,,Safety equipment,1- Fire extinguishers are available,Safety measures,3.2.1.1,Safety,3.2.1,Strand 3.2: Safety
7,,Support Staff,,First aid kit,2- First aid supplies are stocked,Safety measures,3.2.1.1,Safety,3.2.1,Strand 3.2: Safety
8,,Support Staff,,Emergency exits,3- Emergency exits are clearly marked,Safety measures,3.2.1.1,Safety,3.2.1,Strand 3.2: Safety
9,,Support Staff,,Drill records,4- Safety drills are conducted,Safety measures,3.2.1.1,Safety,3.2.1,Strand 3.2: Safety
10,,Support Staff,,Incident reports,5- Incidents are properly reported,Safety measures,3.2.1.1,Safety,3.2.1,Strand 3.2: Safety
