indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Principal,,School vision document,1- School has a clear vision and mission,Leadership and governance,5.1.1.1,Vision,5.1.1,Strand 5.1: School Leadership
2,,Principal,,Strategic plan,2- Strategic plan is in place,Leadership and governance,5.1.1.1,Vision,5.1.1,Strand 5.1: School Leadership
3,,Principal,,Staff meeting minutes,3- Staff are involved in decision making,Leadership and governance,5.1.1.1,Vision,5.1.1,Strand 5.1: School Leadership
4,,Principal,,Communication records,4- Communication with stakeholders is effective,Leadership and governance,5.1.1.1,Vision,5.1.1,Strand 5.1: School Leadership
5,,Principal,,Performance data,5- School performance is monitored regularly,Leadership and governance,5.1.1.1,Vision,5.1.1,Strand 5.1: School Leadership
6,,Principal,,HR records,1- Staff recruitment follows proper procedures,Staff management,5.2.1.1,Management,5.2.1,Strand 5.2: Human Resource Management
7,,Principal,,Appraisal records,2- Staff appraisal system is in place,Staff management,5.2.1.1,Management,5.2.1,Strand 5.2: Human Resource Management
8,,Principal,,PD records,3- Professional development is provided,Staff management,5.2.1.1,Management,5.2.1,Strand 5.2: Human Resource Management
9,,Principal,,Staff welfare records,4- Staff welfare is addressed,Staff management,5.2.1.1,Management,5.2.1,Strand 5.2: Human Resource Management
10,,Principal,,Succession plan,5- Succession planning is in place,Staff management,5.2.1.1,Management,5.2.1,Strand 5.2: Human Resource Management
11,,Principal,,Curriculum documents,1- Curriculum implementation is monitored,Curriculum leadership,5.3.1.1,Curriculum,5.3.1,Strand 5.3: Curriculum Management
12,,Principal,,Academic calendar,2- Academic calendar is well planned,Curriculum leadership,5.3.1.1,Curriculum,5.3.1,Strand 5.3: Curriculum Management
13,,Principal,,Assessment policy,3- Assessment policy is implemented,Curriculum leadership,5.3.1.1,Curriculum,5.3.1,Strand 5.3: Curriculum Management
14,,Principal,,Results analysis,4- Student results are analyzed,Curriculum leadership,5.3.1.1,Curriculum,5.3.1,Strand 5.3: Curriculum Management
15,,Principal,,Intervention records,5- Academic interventions are provided,Curriculum leadership,5.3.1.1,Curriculum,5.3.1,Strand 5.3: Curriculum Management
