indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Finance Officer,,Budget document,1- Annual budget is prepared,Financial planning,5.5.1.1,Planning,5.5.1,Strand 5.5: Financial Management
2,,Finance Officer,,Budget approval,2- Budget is approved by relevant authority,Financial planning,5.5.1.1,Planning,5.5.1,Strand 5.5: Financial Management
3,,Finance Officer,,Expenditure records,3- Budget allocation follows priorities,Financial planning,5.5.1.1,Planning,5.5.1,Strand 5.5: Financial Management
4,,Finance Officer,,Financial reports,4- Budget monitoring is regular,Financial planning,5.5.1.1,Planning,5.5.1,Strand 5.5: Financial Management
5,,Finance Officer,,Variance reports,5- Budget variance is analyzed,Financial planning,5.5.1.1,Planning,5.5.1,Strand 5.5: Financial Management
6,,Finance Officer,,Payment records,1- Payment procedures are followed,Financial controls,5.5.2.1,Controls,5.5.2,Strand 5.5: Financial Management
7,,Finance Officer,,Receipt books,2- Income is properly recorded,Financial controls,5.5.2.1,Controls,5.5.2,Strand 5.5: Financial Management
8,,Finance Officer,,Bank statements,3- Bank reconciliation is done monthly,Financial controls,5.5.2.1,Controls,5.5.2,Strand 5.5: Financial Management
9,,Finance Officer,,Audit reports,4- Internal controls are in place,Financial controls,5.5.2.1,Controls,5.5.2,Strand 5.5: Financial Management
10,,Finance Officer,,External audit,5- External audit recommendations are addressed,Financial controls,5.5.2.1,Controls,5.5.2,Strand 5.5: Financial Management
